id,description,,,,,,,,,,,,,,,,,,,,,,,,
04c411,a star lit night over snow - cover ed peaks,,,,,,,,,,,,,,,,x1,x2,x3,x4,,u,s,,
215136,black and white checkered pants,,,,,,,,,,,,,,,,,,,,,,,,
3e2bc6,crimson rectangles forming a chaotic grid,,,,,,,seq= 10,dim=128,,,,,,,,,,,,,,X-u/s,0,1
61d7a8,burgundy corduroy pants with patch pockets and silver buttons,,,,,,,,,,,,,,,,,,,,,,,u,s
6f2ca7,orange corduroy overalls,,,,,,,,,,,,,,,,,,,,,,,,
8066ae,a lighthouse overlooking the ocean,,,,,,,,,,,,,,,,,,,,,,,,
828a8f,a green lagoon under a cloudy sky,,,,,,,,,,,,,,,,,,,,,,,,
98f11f,a snowy plain,,,,,,,,,,,,,,,,,,,,,,,,
9ce3c4,a maroon dodecahedron interwoven with teal threads,,,,,,,,,,,,,,,,,,,,,,x1x2/|x1||x2|,,
a9ecbb,a purple silk scarf with tassel trim,,,,,,,,,,,,,,,,,,,,,,,,
bf3306,magenta trapezoids layered on a transluscent silver sheet,,,,,,,,,,,,,,,,,,,,,,,,
e2240f,gray wool coat with a faux fur collar,,,,,,,,,,,,,,,,,,,,,,,,
f02e39,a purple forest at dusk,,,,,,,,,,,,,,,,,,,,,,,,
f6790a,purple pyramids spiraling around a bronze cone,,,,,,,,,,,,,,,,,,,,,,,,
f9edd5,khaki triangles and azure crescents,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,x1x2/|x1||x2|,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,100,,2,,
,,,,,,,,,,,,,,,,,,,,,200,,,,
,,,,,,,,,,,,,,,,,,,,,300,,1,,-1
,,,,,,,,,,,,,,,,,,,,,,,2,,0
,,,,,,,,,,,,,,,,,,,,,,,3,,1
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
